CO2_EMISSIONS,CO2_INTENSITY,GEN_EXP,INTER_NET,SNSP_ALL,SYSTEM_DEMAND,WIND_ACTUAL,Timestamp,Region
-1.033661868360516,-0.8282561064380063,-1.1401132894946295,0.7957756722822936,1.1427824190397988,-0.7227579795382283,0.019615012244352317,08-Jun-2024 17:00:00,ALL
-1.033661868360516,-0.9222562183291476,-0.9934803921365477,0.7957756722822936,1.203855482893343,-0.5860808491230589,0.1457367046238343,08-Jun-2024 17:30:00,ALL
-1.0233488525931,-0.9786562854638324,-0.7218907648559265,0.4455110654608027,1.2335633853105445,-0.4663256491402438,0.3516968995187682,08-Jun-2024 18:00:00,ALL
-1.0130358368256838,-0.9598562630856042,-0.5127795025365749,-0.03138766844230413,1.198730255926739,-0.4819458926162632,0.5322013399884856,08-Jun-2024 18:30:00,ALL
-0.9958474772133236,-0.9410562407073759,-0.4235246954490468,-0.1849652268178809,1.2801891402148144,-0.4676273360965788,0.6860929462863856,08-Jun-2024 19:00:00,ALL
-1.0130358368256838,-0.9598562630856042,-0.3916479786320725,-0.27657289321734774,1.287439648423558,-0.4845492665289331,0.7740310070280428,08-Jun-2024 19:30:00,ALL
-1.0817892752751248,-1.0350563525985172,-0.3470205750883084,-0.37626358900500284,1.4644364461669517,-0.487152640441603,0.9637920854705662,08-Jun-2024 20:00:00,ALL
-1.1471050418020938,-1.0914564197332022,-0.3903729099593935,-0.45439953975748926,1.3887319334731172,-0.5431251795640057,0.9221372145929391,08-Jun-2024 20:30:00,ALL
-1.2639858871661436,-1.2230565763808001,-0.49365347244639035,-0.3358484420640616,1.4684261438056252,-0.5860808491230589,0.9059380981405286,08-Jun-2024 21:00:00,ALL
-1.1746064171818702,-1.0538563749767456,-0.5854584168792764,-0.26310117757036733,1.274787703411687,-0.6498635099834713,0.7335332158970165,08-Jun-2024 21:30:00,ALL
-1.1505427137245658,-0.9974563078420607,-0.8493976321238238,0.23535230136790816,1.1673344045085603,-0.6954225534551944,0.47319027291184723,08-Jun-2024 22:00:00,ALL
-1.0714762595077088,-0.8846561735726911,-1.025357108953522,0.5667565062836265,1.1636592791837046,-0.7188529186692235,0.3262411450935517,08-Jun-2024 22:30:00,ALL
-1.0989776348874851,-0.809456084059778,-1.2051417918012572,0.6556698295536972,1.230118434849459,-0.8698486056040773,0.2602875995373088,08-Jun-2024 23:00:00,ALL
-1.0405372122054601,-0.602655837899267,-1.1796404183476779,0.2757674483088494,1.028385511746288,-1.0286544142769407,0.22094688815288321,08-Jun-2024 23:30:00,ALL
1.2661406477732868,2.348947675482572,-0.6160600650235717,0.2649900757912651,-1.5525268732253843,-0.7487917186649273,-1.132836415369997,08-May-2024 00:00:00,ALL
0.9567501747508022,2.0481473174309195,-0.7218907648559265,0.2649900757912651,-1.4576334493886212,-0.8451165534337133,-1.1050665014515788,08-May-2024 00:30:00,ALL
0.8639330328440568,2.085747362187376,-0.8570480441598977,0.2649900757912651,-1.3592490401180182,-0.9830953708052177,-1.062254550827351,08-May-2024 01:00:00,ALL
0.6439220298058455,1.8977471384050935,-0.9526781946108206,0.2649900757912651,-1.275649529596885,-1.0833252664430086,-1.0321704774157314,08-May-2024 01:30:00,ALL
0.3001548375586402,1.4841466460840713,-1.02790724629888,0.2649900757912651,-1.155229713368069,-1.1588231099104356,-0.9789448090720969,08-May-2024 02:00:00,ALL
0.3139055252485284,1.4653466237058432,-1.0024058728453005,0.2649900757912651,-1.1427005282835414,-1.122375875133057,-0.9639027723662871,08-May-2024 02:30:00,ALL
0.20733769565189478,1.39014653419293,-1.0636091691338911,0.2649900757912651,-1.001150659560672,-1.1835551620807994,-0.8956350673168427,08-May-2024 03:00:00,ALL
